rule,model_family,mcc,phi,cost
Knee point,logreg,0.8493240065589909,0.4022529832421628,4.0
Cost-constrained (budget=4),logreg,0.8548015395009283,0.30314951098810294,4.0
Weighted MES,logreg,0.8493240065589909,0.4022529832421628,4.0
