rule,model_family,mcc,phi,cost
Knee point,mlp,0.4877609425294713,0.2884010058309606,673.0
Cost-constrained (budget=193),logreg,0.5106943255058358,0.23662391303395375,14.4
Weighted MES,logreg,0.5066246144548756,0.24578449750865577,19.0
