rule,model_family,mcc,phi,cost
Knee point,dtree,0.9704914797474181,0.41525136577182165,13.0
Cost-constrained (budget=22),logreg,0.9970473723616442,0.4234562414909872,21.0
Weighted MES,dtree,0.9968048708633859,0.4379994756806139,23.4
