rule,model_family,mcc,phi,cost
Knee point,extratrees,0.6532036896777613,0.13555913758777366,21476.4
Cost-constrained (budget=42),dtree,0.977330631861447,0.07514645858343336,41.8
Weighted MES,dtree,0.9692654130732743,0.08002631578947368,47.8
