rule,model_family,mcc,phi,cost
Knee point,mlp,0.79190304695161,0.2445082854932195,3203.0
Cost-constrained (budget=122),dtree,0.8082345523731952,0.14866714829288358,115.0
Weighted MES,mlp,0.79190304695161,0.2445082854932195,3203.0
