rule,model_family,mcc,phi,cost
Knee point,mlp,0.9048301743383483,0.34722274641842843,3009.0
Cost-constrained (budget=337),mlp,0.6732183505537505,0.23640351298548984,321.0
Weighted MES,mlp,0.9048301743383483,0.34722274641842843,3009.0
