rule,model_family,mcc,phi,cost
Knee point,mlp,0.8808033285967198,0.5830444683678976,1382.0
Cost-constrained (budget=216),logreg,0.8268959607851271,0.5429009442339424,216.0
Weighted MES,mlp,0.8808033285967198,0.5830444683678976,1382.0
