rule,model_family,mcc,phi,cost
Knee point,xgboost,0.6107720853443018,0.3606114164484692,28104.2
Cost-constrained (budget=2689),mlp,0.5060983207494736,0.23013363964579142,417.0
Weighted MES,xgboost,0.6107720853443018,0.3606114164484692,28104.2
