rule,model_family,mcc,phi,cost
Knee point,dtree,0.9212013839303527,0.74537905982906,177.4
Cost-constrained (budget=140),dtree,0.910271411012657,0.7319287506978978,139.4
Weighted MES,xgboost,0.9635743239900263,0.7188934112325722,13193.8
