method,seed,mcc,phi,cost
FLAML,0,0.9754080158300814,,
AutoGluon,0,0.9706745590547603,,
FLAML,1,0.9805373678705256,,
AutoGluon,1,0.9502079709591631,,
FLAML,2,0.9849357760195774,,
AutoGluon,2,0.9747430989079932,,
