method,seed,mcc,phi,cost
FLAML,0,0.9050818197506701,,
AutoGluon,0,0.9069743845359226,,
FLAML,1,0.8986248815422823,,
AutoGluon,1,0.8994689973486251,,
FLAML,2,0.9003049435770378,,
AutoGluon,2,0.8983463960784395,,
