method,seed,mcc,phi,cost
FLAML,0,0.9231653590302697,,
AutoGluon,0,0.9213833839961895,,
FLAML,1,0.900934238878045,,
AutoGluon,1,0.9049229453137315,,
FLAML,2,0.9098613692563757,,
AutoGluon,2,0.9120952101261154,,
