method,seed,mcc,phi,cost
FLAML,0,0.44685371861053397,,
AutoGluon,0,0.41858405486230443,,
FLAML,1,0.3723663787381086,,
AutoGluon,1,0.34551226942297975,,
FLAML,2,0.18861078821783972,,
AutoGluon,2,0.29534503705101517,,
