method,seed,mcc,phi,cost
FLAML,0,0.8717215896107985,,
AutoGluon,0,0.8634842753635805,,
FLAML,1,0.8643141320565745,,
AutoGluon,1,0.8576787381599225,,
FLAML,2,0.8627344782862413,,
AutoGluon,2,0.8634130952805813,,
