method,seed,mcc,phi,cost
FLAML,0,0.734058687945213,,
AutoGluon,0,0.7349684152591671,,
FLAML,1,0.7689961710999053,,
AutoGluon,1,0.6904248749404297,,
FLAML,2,0.7000432138778694,,
AutoGluon,2,0.7233393492970545,,
