method,seed,mcc,phi,cost
FLAML,0,0.7042265896991947,,
AutoGluon,0,0.6431977545259407,,
FLAML,1,0.6775370581048039,,
AutoGluon,1,0.6700395047002653,,
FLAML,2,0.7450479313388974,,
AutoGluon,2,0.7284836026018621,,
