seed,MOXEC (NSGA-II),Random Search (3-obj),TPE (MCC-only)
0,0.7260509563337006,0.7248734276398847,0.3131946498617839
1,0.6417305790162218,0.6641141195749676,0.3011512762000624
2,0.77961005623877,0.7311572865231475,0.27348497246543274
