method,seed,mcc,phi,cost
FLAML,0,0.6428027440284014,,
AutoGluon,0,0.6251058010934357,,
FLAML,1,0.6278677121583345,,
AutoGluon,1,0.6328070410714114,,
FLAML,2,0.6126288339024375,,
AutoGluon,2,0.5615050459070404,,
