dataset,A1_moxec_hv,A1_tpe_hv,A1_moxec_wins,A2_moxec_hv,A2_random_hv,A2_moxec_wins
A1_dry_bean,0.9095976709756238,1.092805588018469,False,0.9095976709756238,0.9084867439185458,True
A2_mushroom,0.7063185540636999,0.7119206772101415,False,0.7063185540636999,0.7060389006270628,True
A3_wine_quality,1.0111822157385,0.3594757599807797,True,1.0111822157385,1.0183074760335917,False
A4_landsat_satellite,1.0793866674522727,0.8214166446414501,True,1.0793866674522727,1.0605031603897495,True
A5_rice,0.8637290563531262,1.0552368595464878,False,0.8637290563531262,0.7814336808104896,True
A6_raisin,1.109859531685328,0.7401416550245118,True,1.109859531685328,1.108404068644334,True
M1_eeg_eye_state,0.8937619481481809,1.0400318031697664,False,0.8937619481481809,0.8893290974580772,True
M2_thyroid_disease,0.7157971971962308,0.2959436328424263,True,0.7157971971962308,0.7067149445793333,True
M3_aids_clinical_trials,0.8930460602329431,0.47830244242775893,True,0.8930460602329431,0.9986407046932597,False
M4_cardiotocography,0.9709341481503188,0.566631854690924,True,0.9709341481503188,0.9568403679354933,True
M5_obesity_levels,1.0996293839012556,0.778533557412989,True,1.0996293839012556,1.1029985590320537,False
M6_diabetic_retinopathy,1.0127546193237136,0.7002105551648538,True,1.0127546193237136,0.9813659818815924,True
